Postcode,Postcode Status,LSOA Code,LSOA Name,Index of Multiple Deprivation Rank,Index of Multiple Deprivation Decile
B28 9DD,Live,E01009032,Birmingham 108A E01009032,14825,5
B28 9DE,Live,E01009032,Birmingham 108A E01009032,14825,5
B28 9DF,Live,E01009035,Birmingham 108C E01009035,10744,4
B28 9DG,Live,E01009032,Birmingham 108A E01009032,14825,5
B28 9DH,Live,E01009032,Birmingham 108A E01009032,14825,5
B28 9DJ,Live,E01009032,Birmingham 108A E01009032,14825,5
B28 9DL,Live,E01009032,Birmingham 108A E01009032,14825,5
B28 9DN,Live,E01009032,Birmingham 108A E01009032,14825,5
B28 9DP,Live,E01009031,Birmingham 105C E01009031,13580,5
B28 9DQ,Terminated,E01009032,Birmingham 108A E01009032,14825,5
B28 9DR,Live,E01009032,Birmingham 108A E01009032,14825,5
B28 9DS,Live,E01009032,Birmingham 108A E01009032,14825,5
B28 9DT,Live,E01009032,Birmingham 108A E01009032,14825,5
B28 9DU,Live,E01009032,Birmingham 108A E01009032,14825,5
B28 9DW,Live,E01009032,Birmingham 108A E01009032,14825,5
B28 9DX,Live,E01009032,Birmingham 108A E01009032,14825,5
B28 9DY,Terminated,E01009035,Birmingham 108C E01009035,10744,4
B28 9DZ,Terminated,E01009035,Birmingham 108C E01009035,10744,4
B28 9EA,Live,E01009032,Birmingham 108A E01009032,14825,5
B28 9EB,Terminated,E01009035,Birmingham 108C E01009035,10744,4
B28 9ED,Terminated,E01009031,Birmingham 105C E01009031,13580,5
B28 9EE,Live,E01009032,Birmingham 108A E01009032,14825,5
B28 9EF,Live,E01009035,Birmingham 108C E01009035,10744,4
B28 9EG,Live,E01009035,Birmingham 108C E01009035,10744,4
B28 9EH,Live,E01009035,Birmingham 108C E01009035,10744,4
B28 9EJ,Terminated,E01009035,Birmingham 108C E01009035,10744,4
B28 9EL,Live,E01009035,Birmingham 108C E01009035,10744,4
B28 9EN,Live,E01009035,Birmingham 108C E01009035,10744,4
